"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng","Thành ph<U+1ED1> tr<U+1EF1>c thu<U+1ED9>c t<U+1EC9>nh","City|Municipality|Thanh Pho",NA,"Da Nang City|Da Nang"
2,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai","T<U+1EC9>nh","Province",NA,"Dong Nai"
3,250,"VNM","Vietnam",3,"Ð<U+1ED3>ng Tháp","T<U+1EC9>nh","Province",NA,"Dong Thap"
4,250,"VNM","Vietnam",4,"Ðak Nông","T<U+1EC9>nh","Province",NA,"Dac Nong"
5,250,"VNM","Vietnam",5,"Ð<U+1EAF>k L<U+1EAF>k","T<U+1EC9>nh","Province",NA,"Dak Lak|Dac Lac"
6,250,"VNM","Vietnam",6,"Ði<U+1EC7>n Biên","T<U+1EC9>nh","Province",NA,"Dien Bien"
7,250,"VNM","Vietnam",7,"An Giang","T<U+1EC9>nh","Province",NA,"An Giang"
8,250,"VNM","Vietnam",8,"Bà R<U+1ECB>a - Vung Tàu","T<U+1EC9>nh","Province",NA,"Ba Ria - VTau|Ba Ria-Vung Tau"
9,250,"VNM","Vietnam",9,"Bình Ð<U+1ECB>nh","T<U+1EC9>nh","Province",NA,"Binh Dinh"
10,250,"VNM","Vietnam",10,"Bình Duong","T<U+1EC9>nh","Province",NA,"Binh Duong"
11,250,"VNM","Vietnam",11,"Bình Phu<U+1EDB>c","T<U+1EC9>nh","Province",NA,"Binh Phuoc"
12,250,"VNM","Vietnam",12,"Bình Thu<U+1EAD>n","T<U+1EC9>nh","Province",NA,"Binh Thuan"
13,250,"VNM","Vietnam",13,"B<U+1EA1>c Liêu","T<U+1EC9>nh","Province",NA,"Bac Lieu"
14,250,"VNM","Vietnam",14,"B<U+1EAF>c Giang","T<U+1EC9>nh","Province",NA,"Bac Giang"
15,250,"VNM","Vietnam",15,"B<U+1EAF>c K<U+1EA1>n","T<U+1EC9>nh","Province",NA,"Bac Kan|Bac Can"
