"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",1,"C<U+1EA9>m L<U+1EC7>","Qu<U+1EAD>n","Urban District",NA,"Cam Le"
2,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu","Huy<U+1EC7>n","District",NA,"Hai Chau"
3,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",3,"Hoà Vang","Huy<U+1EC7>n","District",NA,"Hoa Vang"
4,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",4,"Liên Chi<U+1EC3>u","Huy<U+1EC7>n","District",NA,"Lien Chieu"
5,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",5,"Ngu Hành Son","Huy<U+1EC7>n","District",NA,"Ngu Hanh Son"
6,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",6,"Son Trà","Huy<U+1EC7>n","District",NA,"Son Tra"
7,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",7,"Thanh Khê","Huy<U+1EC7>n","District",NA,"Thanh Khe"
8,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",8,"Ð<U+1ECB>nh Quán","Huy<U+1EC7>n","District",NA,"Dinh Quan"
9,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",9,"Bien Hoa","Than Pho","City",NA,NA
10,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",10,"C<U+1EA9>m M<U+1EF9>","Huy<U+1EC7>n","District",NA,NA
11,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",11,"Long Khánh","Huy<U+1EC7>n","District",NA,"Long Khanh"
12,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",12,"Long Thành","Huy<U+1EC7>n","District",NA,"Long Thanh"
13,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",13,"Nhon Tr<U+1EA1>ch","Huy<U+1EC7>n","District",NA,"Nhon Trach"
14,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",14,"Tân Phú","Huy<U+1EC7>n","District",NA,"Tan Phu"
15,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",15,"Th<U+1ED1>ng Nh<U+1EA5>t","Huy<U+1EC7>n","District",NA,"Thong Nhat"
16,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",16,"Tr<U+1EA3>ng Bom","Huy<U+1EC7>n","District",NA,"Trang Bom"
17,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",17,"Vinh C<U+1EED>u","Huy<U+1EC7>n","District",NA,"Vinh Cuu"
18,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",18,"Xuân L<U+1ED9>c","Huy<U+1EC7>n","District",NA,"Xuan Loc"
19,250,"VNM","Vietnam",3,"Ð<U+1ED3>ng Tháp",19,"Cao Lãnh","Huy<U+1EC7>n","District",NA,"Cao Lanh"
20,250,"VNM","Vietnam",3,"Ð<U+1ED3>ng Tháp",20,"Cao Lanh","Huy<U+1EC7>n","District",NA,NA
21,250,"VNM","Vietnam",3,"Ð<U+1ED3>ng Tháp",21,"Châu Thành","Huy<U+1EC7>n","District",NA,"Chau Thanh"
22,250,"VNM","Vietnam",3,"Ð<U+1ED3>ng Tháp",22,"H<U+1ED3>ng Ng<U+1EF1>","Huy<U+1EC7>n","District",NA,"Hong Ngu"
23,250,"VNM","Vietnam",3,"Ð<U+1ED3>ng Tháp",23,"Lai Vung","Huy<U+1EC7>n","District",NA,"Lai Vung"
24,250,"VNM","Vietnam",3,"Ð<U+1ED3>ng Tháp",24,"L<U+1EA5>p Vò","Huy<U+1EC7>n","District",NA,"Lap Vo"
25,250,"VNM","Vietnam",3,"Ð<U+1ED3>ng Tháp",25,"Sa Ðéc","Thi xa","Township",NA,"Sa Dec"
26,250,"VNM","Vietnam",3,"Ð<U+1ED3>ng Tháp",26,"Tân H<U+1ED3>ng","Huy<U+1EC7>n","District",NA,"Tan Hong"
27,250,"VNM","Vietnam",3,"Ð<U+1ED3>ng Tháp",27,"Tam Nông","Huy<U+1EC7>n","District",NA,"Tam Nong"
28,250,"VNM","Vietnam",3,"Ð<U+1ED3>ng Tháp",28,"Tháp Mu<U+1EDD>i","Huy<U+1EC7>n","District",NA,"Thap Muoi"
29,250,"VNM","Vietnam",3,"Ð<U+1ED3>ng Tháp",29,"Thanh Bình","Huy<U+1EC7>n","District",NA,"Thanh Binh"
30,250,"VNM","Vietnam",4,"Ðak Nông",30,"Ðak Glong","Huy<U+1EC7>n","District",NA,NA
