"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",1,"C<U+1EA9>m L<U+1EC7>",1,"Hòa Phát","Commune","Commune",NA,NA
2,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",1,"C<U+1EA9>m L<U+1EC7>",2,"Hòa Xuân","Commune","Commune",NA,NA
3,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",1,"C<U+1EA9>m L<U+1EC7>",3,"Khuê Trung","Ward","Ward",NA,NA
4,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",4,"Bình Hiên","Ward","Ward",NA,NA
5,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",5,"Bình Thu<U+1EAD>n","Ward","Ward",NA,NA
6,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",6,"Hòa Cu<U+1EDD>ng B<U+1EAF>c","Ward","Ward",NA,NA
7,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",7,"Hòa Cu<U+1EDD>ng Nam","Ward","Ward",NA,NA
8,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",8,"Hòa Thu<U+1EAD>n Ðông","Ward","Ward",NA,NA
9,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",9,"Hòa Thu<U+1EAD>n Tây","Ward","Ward",NA,NA
10,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",10,"H<U+1EA3>i Châu 1","Ward","Ward",NA,NA
11,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",11,"H<U+1EA3>i Châu 2","Ward","Ward",NA,NA
12,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",12,"Nam Duong","Ward","Ward",NA,NA
13,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",13,"Phu<U+1EDB>c Ninh","Ward","Ward",NA,NA
14,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",14,"Thánh Bình","Ward","Ward",NA,NA
15,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",15,"Th<U+1EA1>ch Th<U+1EAF>ng","Ward","Ward",NA,NA
16,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",16,"Thu<U+1EAD>n Phu<U+1EDB>c","Ward","Ward",NA,NA
17,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",3,"Hoà Vang",17,"Hòa B<U+1EAF>c","Commune","Commune",NA,NA
18,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",3,"Hoà Vang",18,"Hòa Châu","Commune","Commune",NA,NA
19,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",3,"Hoà Vang",19,"Hòa Khuong","Commune","Commune",NA,NA
20,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",3,"Hoà Vang",20,"Hòa Liên","Commune","Commune",NA,NA
21,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",3,"Hoà Vang",21,"Hòa Nhon","Commune","Commune",NA,NA
22,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",3,"Hoà Vang",22,"Hòa Ninh","Commune","Commune",NA,NA
23,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",3,"Hoà Vang",23,"Hòa Phu<U+1EDB>c","Commune","Commune",NA,NA
24,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",3,"Hoà Vang",24,"Hòa Phú","Commune","Commune",NA,NA
25,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",3,"Hoà Vang",25,"Hòa Phong","Commune","Commune",NA,NA
26,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",3,"Hoà Vang",26,"Hòa Son","Commune","Commune",NA,NA
27,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",3,"Hoà Vang",27,"Hòa Ti<U+1EBF>n","Commune","Commune",NA,NA
28,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",3,"Hoà Vang",28,"Hoµ Thä","Commune","Commune",NA,NA
29,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",4,"Liên Chi<U+1EC3>u",29,"Hòa Hiêp B<U+1EAF>c","Ward","Ward",NA,NA
30,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",4,"Liên Chi<U+1EC3>u",30,"Hòa Hiêp Nam","Ward","Ward",NA,NA
31,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",4,"Liên Chi<U+1EC3>u",31,"Hòa Khành B<U+1EAF>c","Ward","Ward",NA,NA
32,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",4,"Liên Chi<U+1EC3>u",32,"Hòa Khành Nam","Ward","Ward",NA,NA
33,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",4,"Liên Chi<U+1EC3>u",33,"Hòa Minh","Ward","Ward",NA,NA
34,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",5,"Ngu Hành Son",34,"B<U+1EAF>c M<U+1EF9> An","Ward","Ward",NA,NA
35,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",5,"Ngu Hành Son",35,"Hòa H<U+1EA3>i","Ward","Ward",NA,NA
36,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",5,"Ngu Hành Son",36,"Hòa Quy","Ward","Ward",NA,NA
37,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",5,"Ngu Hành Son",37,"Khuê M<U+1EF9>","Ward","Ward",NA,NA
38,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",6,"Son Trà",38,"An H<U+1EA3>i Ðông","Ward","Ward",NA,NA
39,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",6,"Son Trà",39,"An H<U+1EA3>i B<U+1EAF>c","Ward","Ward",NA,NA
40,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",6,"Son Trà",40,"An H<U+1EA3>i Tây","Ward","Ward",NA,NA
41,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",6,"Son Trà",41,"Mân Thái","Ward","Ward",NA,NA
42,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",6,"Son Trà",42,"N¹i Hiên Ðông","Ward","Ward",NA,NA
43,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",6,"Son Trà",43,"Phu<U+1EDB>c M<U+1EF9>","Ward","Ward",NA,NA
44,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",6,"Son Trà",44,"Thä Quang","Ward","Ward",NA,NA
45,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",7,"Thanh Khê",45,"An Khê","Ward","Ward",NA,NA
46,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",7,"Thanh Khê",46,"Chính Gián","Ward","Ward",NA,NA
47,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",7,"Thanh Khê",47,"Tân Chính","Ward","Ward",NA,NA
48,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",7,"Thanh Khê",48,"Tam Thu<U+1EAD>n","Ward","Ward",NA,NA
49,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",7,"Thanh Khê",49,"Thánh Léc Ðán","Ward","Ward",NA,NA
50,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",7,"Thanh Khê",50,"Th<U+1EA1>c Gián","Ward","Ward",NA,NA
51,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",7,"Thanh Khê",51,"Vinh Trung","Ward","Ward",NA,NA
52,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",7,"Thanh Khê",52,"Xuân Hà","Ward","Ward",NA,NA
53,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",8,"Ð<U+1ECB>nh Quán",53,"Ð<U+1ECB>nh Quán","Townlet","Townlet",NA,NA
54,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",8,"Ð<U+1ECB>nh Quán",54,"Gia Canh","Commune","Commune",NA,NA
55,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",8,"Ð<U+1ECB>nh Quán",55,"La Ngà","Commune","Commune",NA,NA
56,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",8,"Ð<U+1ECB>nh Quán",56,"Ng<U+1ECD>c Ð<U+1ECB>nh","Commune","Commune",NA,NA
57,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",8,"Ð<U+1ECB>nh Quán",57,"Phú Cu<U+1EDD>ng","Commune","Commune",NA,NA
58,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",8,"Ð<U+1ECB>nh Quán",58,"Phú Hoà","Commune","Commune",NA,NA
